"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US13013","Barrow County, Georgia","27765","833","5.9","2.1","3.3","1.7","5.5","2.2","7.9","2.4","10.4","3.0","23.3","4.7","16.5","3.6","18.9","3.6","6.2","2.5","2.2","1.2","69890","4686","77081","5980","33.6","(X)","(X)","(X)","(X)","(X)","20948","1223","3.7","2.2","2.5","1.7","4.3","2.7","6.6","2.4","8.2","2.8","23.8","5.6","18.8","5.1","22.6","4.6","6.6","2.8","2.9","1.6","76055","4975","85312","7244","(X)","(X)","33.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","81528","9112","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6817","1070","12.8","6.9","6.7","4.3","11.2","5.4","12.3","6.0","16.7","7.9","22.6","6.7","13.2","6.9","3.9","3.0","0.6","1.1","0.0","3.3","38798","5941","44466","5413","(X)","(X)","(X)","(X)","30.6","(X)"
"0500000US13015","Bartow County, Georgia","39742","1150","9.2","3.0","7.1","3.0","5.9","2.0","8.6","3.1","11.3","3.4","22.8","4.2","12.7","3.4","14.8","3.4","4.4","2.0","3.3","1.3","59911","5301","70644","5304","34.6","(X)","(X)","(X)","(X)","(X)","28529","2054","7.2","4.0","1.4","1.1","3.2","1.6","10.4","3.7","10.0","3.6","24.8","5.4","14.8","4.3","19.4","4.3","5.5","2.5","3.3","1.3","68139","7007","81186","6709","(X)","(X)","31.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","77098","9391","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11213","1998","18.9","6.6","17.2","7.7","12.4","5.2","6.4","5.1","14.6","6.6","16.3","6.2","6.5","4.2","5.0","3.7","0.0","2.0","2.6","2.8","25683","10749","41053","7216","(X)","(X)","(X)","(X)","41.8","(X)"
"0500000US13021","Bibb County, Georgia","56726","1984","10.9","2.2","6.3","1.8","10.6","1.9","13.4","2.5","14.4","2.5","14.5","3.1","10.9","2.4","10.8","2.5","4.2","1.4","4.0","1.2","42140","3768","67678","4852","45.3","(X)","(X)","(X)","(X)","(X)","33573","2512","7.2","2.6","6.0","2.4","8.7","2.8","10.5","3.1","13.7","3.5","15.6","3.7","10.5","2.8","16.0","3.8","5.8","2.2","5.9","1.9","55526","6368","82359","6946","(X)","(X)","46.5","(X)","(X)","(X)","20249","2177","1.9","1.3","0.9","0.7","4.9","3.0","6.1","3.1","10.2","4.0","19.5","5.2","14.4","4.2","24.7","5.9","8.7","3.4","8.7","2.9","86565","11254","N","N","(X)","(X)","(X)","(X)","(X)","(X)","23153","2295","16.5","3.6","7.5","2.3","14.8","3.5","17.3","4.0","14.3","3.6","14.7","4.9","9.0","3.5","2.8","1.8","1.8","1.3","1.3","1.0","31197","4126","44536","6898","(X)","(X)","(X)","(X)","41.6","(X)"
"0500000US13031","Bulloch County, Georgia","28660","1370","5.9","2.5","6.4","2.8","11.7","3.1","10.7","3.7","14.6","4.6","25.8","5.5","12.3","3.4","7.3","2.4","2.0","1.3","3.3","2.0","50436","4602","61191","5682","35.3","(X)","(X)","(X)","(X)","(X)","16526","1373","6.1","4.2","4.3","2.6","6.2","3.1","7.5","4.2","13.3","5.9","29.9","7.7","14.0","5.3","10.5","4.0","3.4","2.3","4.9","3.2","62194","6432","73917","10016","(X)","(X)","34.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","73015","6831","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12134","1525","9.5","5.1","10.9","5.2","19.8","6.6","14.6","6.0","18.1","8.0","16.5","6.5","6.6","3.7","2.9","2.2","0.0","1.9","1.2","1.8","29747","6819","38792","5558","(X)","(X)","(X)","(X)","32.7","(X)"
"0500000US13045","Carroll County, Georgia","42798","1323","7.0","2.6","3.1","1.8","9.4","2.7","7.8","3.1","14.5","3.7","20.8","3.7","16.4","4.3","14.2","3.0","4.3","1.4","2.5","1.2","61133","7229","69895","4815","29.6","(X)","(X)","(X)","(X)","(X)","30346","1957","3.9","2.7","1.7","2.0","8.8","3.7","6.3","3.0","12.9","4.5","21.0","4.1","19.2","5.7","17.2","4.1","5.5","2.1","3.5","1.7","70575","4858","79859","6526","(X)","(X)","31.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","77217","5556","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12452","1809","14.6","6.3","6.4","4.1","12.8","5.7","13.1","6.1","18.2","5.3","21.7","7.8","10.2","5.7","2.5","2.3","0.6","1.1","0.0","1.8","36873","7231","41132","5161","(X)","(X)","(X)","(X)","23.0","(X)"
"0500000US13047","Catoosa County, Georgia","24130","1401","5.1","2.6","5.6","3.4","5.5","2.7","10.3","3.5","13.4","3.6","23.9","4.8","15.2","4.9","14.0","4.0","3.4","2.0","3.5","2.1","61487","4614","71692","6070","28.6","(X)","(X)","(X)","(X)","(X)","17293","1459","3.7","2.9","0.4","0.7","4.8","3.9","9.2","3.4","15.8","4.8","23.2","5.7","16.8","5.8","16.5","5.4","4.7","2.8","4.9","2.9","67945","5465","81502","7770","(X)","(X)","25.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","71477","7277","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6837","1328","8.4","6.3","18.8","10.8","11.2","5.8","11.8","7.5","8.0","4.9","25.8","10.8","9.1","7.0","7.0","5.7","0.0","3.3","0.0","3.3","34688","12565","43420","7854","(X)","(X)","(X)","(X)","35.9","(X)"
"0500000US13051","Chatham County, Georgia","107987","2721","6.6","1.3","5.2","1.1","11.0","1.9","9.0","1.9","11.7","1.9","19.3","2.2","12.6","2.3","14.4","2.6","4.2","1.1","6.1","1.2","57611","3818","80418","4687","45.5","(X)","(X)","(X)","(X)","(X)","65889","3989","4.0","1.3","2.2","1.0","8.2","2.3","8.1","2.4","10.5","2.2","18.0","2.6","18.2","3.6","17.6","3.4","5.8","1.7","7.4","1.3","71935","7480","95451","6943","(X)","(X)","49.6","(X)","(X)","(X)","42467","3545","1.5","1.0","1.2","0.8","4.1","1.7","2.9","1.3","7.4","2.4","17.6","3.0","20.8","5.1","25.2","4.7","8.8","2.5","10.6","2.0","93697","5281","N","N","(X)","(X)","(X)","(X)","(X)","(X)","42098","3305","11.0","2.4","10.2","2.7","15.9","3.6","10.9","2.9","13.1","3.0","21.3","4.3","6.0","1.8","6.3","2.2","1.2","0.7","4.2","2.2","37108","5904","54008","5306","(X)","(X)","(X)","(X)","38.6","(X)"
"0500000US13057","Cherokee County, Georgia","93441","1407","3.3","1.5","2.6","1.1","6.7","1.7","6.5","1.7","5.9","1.4","18.9","3.0","14.0","2.4","21.8","3.2","11.0","2.1","9.2","1.8","86404","7851","101950","4769","32.0","(X)","(X)","(X)","(X)","(X)","69257","3478","1.5","1.1","1.2","1.0","4.2","1.8","5.0","1.9","5.0","1.5","17.7","3.1","16.3","3.2","24.5","3.6","13.0","2.6","11.6","2.4","99250","4495","115203","5704","(X)","(X)","32.1","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","108912","8132","N","N","(X)","(X)","(X)","(X)","(X)","(X)","24184","3441","10.2","5.2","7.0","3.6","13.1","4.7","11.5","5.3","8.9","3.2","21.2","6.6","7.3","3.4","13.2","4.9","5.0","2.7","2.5","1.4","47431","15199","61405","7730","(X)","(X)","(X)","(X)","30.4","(X)"
"0500000US13059","Clarke County, Georgia","52124","1282","11.2","2.4","8.2","2.8","14.8","3.7","11.1","2.6","12.9","3.0","16.0","2.7","8.6","1.9","8.9","1.8","3.8","1.3","4.6","1.3","39799","3247","64933","5961","41.0","(X)","(X)","(X)","(X)","(X)","24041","2165","5.0","3.4","7.8","4.0","10.0","5.1","7.0","3.0","10.1","3.6","16.4","4.4","13.6","3.8","14.5","3.6","7.5","2.6","8.1","2.3","66725","9984","94365","12427","(X)","(X)","39.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","82350","7253","N","N","(X)","(X)","(X)","(X)","(X)","(X)","28083","2256","16.6","4.2","9.2","3.5","18.7","4.8","15.2","4.5","15.7","4.5","14.8","3.7","4.3","1.6","4.1","1.8","1.0","1.0","0.5","0.4","30072","4480","36931","3425","(X)","(X)","(X)","(X)","41.6","(X)"
